club_name,table_position
Man Utd,1
Arsenal FC,2
Liverpool FC,3
Leeds United,4
Ipswich Town,5
Chelsea FC,6
Sunderland AFC,7
Aston Villa,8
Charlton,9
Southampton FC,10
Newcastle United,11
Spurs,12
Leicester City,13
Middlesbrough FC,14
West Ham United,15
Everton FC,16
Derby County,17
Man City,18
Coventry City,19
Bradford City,20
