club_name,table_position
Arsenal FC,1
Liverpool FC,2
Man Utd,3
Newcastle United,4
Leeds United,5
Chelsea FC,6
West Ham United,7
Aston Villa,8
Spurs,9
Blackburn Rovers,10
Southampton FC,11
Middlesbrough FC,12
Fulham FC,13
Charlton,14
Everton FC,15
Bolton,16
Sunderland AFC,17
Ipswich Town,18
Derby County,19
Leicester City,20
