club_name,table_position
Arsenal FC,1
Chelsea FC,2
Man Utd,3
Liverpool FC,4
Newcastle United,5
Aston Villa,6
Charlton,7
Bolton,8
Fulham FC,9
Birmingham City,10
Middlesbrough FC,11
Southampton FC,12
Portsmouth FC,13
Spurs,14
Blackburn Rovers,15
Man City,16
Everton FC,17
Leicester City,18
Leeds United,19
Wolves,20
