club_name,table_position
Man City,1
Man Utd,2
Arsenal FC,3
Spurs,4
Newcastle United,5
Chelsea FC,6
Everton FC,7
Liverpool FC,8
Fulham FC,9
West Brom,10
Swansea City,11
Norwich City,12
Sunderland AFC,13
Stoke City,14
Wigan Athletic,15
Aston Villa,16
QPR,17
Bolton,18
Blackburn Rovers,19
Wolves,20
