club_name,table_position
Man Utd,1
Arsenal FC,2
Newcastle United,3
Chelsea FC,4
Liverpool FC,5
Blackburn Rovers,6
Everton FC,7
Southampton FC,8
Man City,9
Spurs,10
Middlesbrough FC,11
Charlton,12
Birmingham City,13
Fulham FC,14
Leeds United,15
Aston Villa,16
Bolton,17
West Ham United,18
West Brom,19
Sunderland AFC,20
