club_name,table_position
Man Utd,1
Newcastle United,2
Liverpool FC,3
Aston Villa,4
Arsenal FC,5
Everton FC,6
Blackburn Rovers,7
Spurs,8
Nottm Forest,9
West Ham United,10
Chelsea FC,11
Middlesbrough FC,12
Leeds United,13
Wimbledon FC,14
Sheff Weds,15
Coventry City,16
Southampton FC,17
Man City,18
QPR,19
Bolton,20
