club_name,table_position
Man City,1
Liverpool FC,2
Chelsea FC,3
Spurs,4
Arsenal FC,5
Man Utd,6
West Ham United,7
Leicester City,8
Brighton,9
Wolves,10
Newcastle United,11
Crystal Palace,12
Brentford FC,13
Aston Villa,14
Southampton FC,15
Everton FC,16
Leeds United,17
Burnley FC,18
Watford FC,19
Norwich City,20
