club_name,table_position
Man City,1
Man Utd,2
Liverpool FC,3
Chelsea FC,4
Leicester City,5
West Ham United,6
Spurs,7
Arsenal FC,8
Leeds United,9
Everton FC,10
Aston Villa,11
Newcastle United,12
Wolves,13
Crystal Palace,14
Southampton FC,15
Brighton,16
Burnley FC,17
Fulham FC,18
West Brom,19
Sheff Utd,20
